"Size","RangeOfValues","Time(s)"
100,80,0.0806887
200,160,0.14081870000000002
300,240,0.298259
400,320,0.6736633000000001
500,400,1.3021213
600,480,2.2590584000000002
700,560,3.572975
800,640,5.7968414
900,720,7.7070173
1000,800,10.776022300000001
1100,880,14.0241562
1200,960,18.0901475
1300,1040,23.070054300000002
1400,1120,28.723367000000003
1500,1200,35.4148384
1600,1280,42.9988322
1700,1360,51.389087800000006
1800,1440,60.801549400000006
1900,1520,71.3981906
2000,1600,83.22887060000001
2100,1680,96.402462
2200,1760,110.13699270000001
2300,1840,134.00304920000002
2400,1920,156.37365160000002
2500,2000,177.64148010000002
2600,2080,187.3547426
2700,2160,235.61342610000003
2800,2240,257.509002
2900,2320,265.33295810000004
3000,2400,297.62179180000004
