"Size","NumberOfUnions","Time(s)","IsConnectTime(s)"
100000,10000,0.240852154,2.82797E-4
100000,15000,0.331247849,3.384E-4
100000,20000,0.439832801,4.53513E-4
100000,25000,0.5264914,5.757E-4
100000,30000,0.6567554,6.595E-4
100000,35000,0.7768765,7.645E-4
100000,40000,1.0054465,8.851E-4
100000,45000,1.0906193,0.0010201
100000,50000,1.1035533,0.0011059
100000,55000,1.2530515,0.0012386
100000,60000,1.6331142,0.0013225
100000,65000,1.9472374,0.0014622
100000,70000,2.4574696,0.0015652
100000,75000,3.1770635,0.0017948
100000,80000,3.5097327,0.0017981
100000,85000,3.67533,0.0019055
100000,90000,4.0461634,0.0020096
"-------------------------------------------------------"
118750,11875,0.3735696,2.618E-4
118750,17813,0.4448541,3.916E-4
118750,23751,0.6054643,5.372E-4
118750,29689,0.757484,6.68E-4
118750,35627,0.8758756,8.0E-4
118750,41565,1.0600025,9.53E-4
118750,47503,1.2158251,0.0010663
118750,53441,1.5658769,0.0012205
118750,59379,1.5277557,0.0013782
118750,65317,1.6745005,0.0014754
118750,71255,2.1044061,0.0016184
118750,77193,2.7078088,0.0017353
118750,83131,3.314971519,0.001848688
118750,89069,3.998769805,0.001989222
118750,95007,4.7855132,0.0021274
118750,100945,5.1555444,0.0022654
"-------------------------------------------------------"
137500,13750,0.3952053,3.108E-4
137500,20625,0.5876126,4.753E-4
137500,27500,0.7944943,6.248E-4
137500,34375,1.0131848,7.786E-4
137500,41250,1.1803355,9.349E-4
137500,48125,1.3906678,0.001097
137500,55000,1.5813719,0.001255
137500,61875,1.8849531,0.0014041
137500,68750,2.0524045,0.0015233
137500,75625,2.4091481,0.0017229
137500,82500,2.9802195,0.0018844
137500,89375,3.7486846,0.0020193
137500,96250,4.6816176,0.0021943
137500,103125,5.4659161,0.0023511
137500,110000,6.7532016,0.0025184
137500,116875,7.8385917,0.0026732
137500,123750,7.9662637,0.0028128
"-------------------------------------------------------"
156250,15625,0.5376892,3.555E-4
156250,23438,0.7662635,5.366E-4
156250,31251,1.1110286,7.112E-4
156250,39064,1.2652609,8.903E-4
156250,46877,1.5335115,0.0010771
156250,54690,1.8596975,0.0012403
156250,62503,2.1193475,0.0014228
156250,70316,2.4316283,0.0015954
156250,78129,2.6650662,0.0017769
156250,85942,2.9935418,0.0019572
156250,93755,3.7984574,0.0020965
156250,101568,5.173946559,0.002314865
156250,109381,6.524522317,0.002499431
156250,117194,8.051843324,0.002667774
156250,125007,8.5788412,0.0028766
156250,132820,9.842788,0.0030296
"-------------------------------------------------------"
175000,17500,0.7022015,4.05E-4
175000,26250,1.0180815,5.927E-4
175000,35000,1.2674851,7.815E-4
175000,43750,1.653149,0.0010286
175000,52500,2.0294932,0.0011636
175000,61250,2.3541629,0.0014038
175000,70000,2.6914063,0.0016036
175000,78750,3.0373256,0.001804
175000,87500,3.6397587,0.0019953
175000,96250,4.2344744,0.0021846
175000,105000,4.9988425,0.0023951
175000,113750,6.4776849,0.0025999
175000,122500,7.7012989,0.0028042
175000,131250,9.5347352,0.0029452
175000,140000,11.5096492,0.0032054
175000,148750,11.8417721,0.0034226
175000,157500,12.3027354,0.003586
"-------------------------------------------------------"
193750,19375,0.9128067,4.482E-4
193750,29063,1.1665147,5.909E-4
193750,38751,1.5651625,8.855E-4
193750,48439,1.9922773,0.0011078
193750,58127,2.8817895,0.0013088
193750,67815,2.9264536,0.0014944
193750,77503,3.5297154,0.0017643
193750,87191,3.7569655,0.0019687
193750,96879,4.0428981,0.0021453
193750,106567,4.6177758,0.0023946
193750,116255,5.7256851,0.0026406
193750,125943,7.2913204,0.0028852
193750,135631,9.1978213,0.0030297
193750,145319,11.7567093,0.0033118
193750,155007,12.464769286,0.003508459
193750,164695,14.018700725,0.003750784
"-------------------------------------------------------"
212500,21250,0.926183656,4.70102E-4
