"n","Total","NumberOfOpenComponents","Percolation Rate"
10,100,65,60
10,100,55,50
10,100,67,60
10,100,62,60
10,100,54,50
10,100,62,60
10,100,61,60
10,100,58,50
10,100,60,60
10,100,62,60
20,400,225,220
20,400,235,220
20,400,249,240
20,400,233,220
20,400,245,240
20,400,214,200
20,400,215,200
20,400,269,260
20,400,235,220
20,400,236,220
30,900,516,510
30,900,529,510
30,900,549,540
30,900,502,480
30,900,488,480
30,900,498,480
30,900,556,540
30,900,508,480
30,900,512,510
30,900,553,540
40,1600,897,880
40,1600,856,840
40,1600,960,960
40,1600,845,840
40,1600,940,920
40,1600,985,960
40,1600,879,840
40,1600,981,960
40,1600,957,920
40,1600,908,880
50,2500,1498,1450
50,2500,1411,1400
50,2500,1559,1550
50,2500,1482,1450
50,2500,1545,1500
50,2500,1416,1400
50,2500,1490,1450
50,2500,1443,1400
50,2500,1500,1500
50,2500,1479,1450
60,3600,2082,2040
60,3600,2148,2100
60,3600,2154,2100
60,3600,2138,2100
60,3600,2095,2040
60,3600,2015,1980
60,3600,2153,2100
60,3600,2032,1980
60,3600,2210,2160
60,3600,2121,2100
70,4900,3080,3080
70,4900,3022,3010
70,4900,2885,2870
70,4900,2768,2730
70,4900,2945,2940
70,4900,3126,3080
70,4900,2779,2730
70,4900,2798,2730
70,4900,2978,2940
70,4900,2935,2870
80,6400,3467,3440
80,6400,3877,3840
80,6400,3852,3840
80,6400,3562,3520
80,6400,3916,3840
80,6400,3704,3680
80,6400,3703,3680
80,6400,3637,3600
80,6400,3731,3680
80,6400,3704,3680
90,8100,4571,4500
90,8100,4976,4950
90,8100,4926,4860
90,8100,4771,4770
90,8100,4475,4410
90,8100,4700,4680
90,8100,4869,4860
90,8100,4927,4860
90,8100,4796,4770
90,8100,4749,4680
100,10000,5660,5600
100,10000,6063,6000
100,10000,5931,5900
100,10000,6135,6100
100,10000,5833,5800
100,10000,5761,5700
100,10000,6274,6200
100,10000,5987,5900
100,10000,5912,5900
100,10000,5741,5700
110,12100,7086,7040
110,12100,7177,7150
110,12100,7166,7150
110,12100,7440,7370
110,12100,7027,6930
110,12100,7289,7260
110,12100,7180,7150
110,12100,6930,6930
110,12100,7227,7150
110,12100,7276,7260
120,14400,8532,8520
120,14400,8422,8400
120,14400,8257,8160
120,14400,8417,8400
120,14400,8554,8520
120,14400,8536,8520
120,14400,8447,8400
120,14400,8100,8040
120,14400,8432,8400
120,14400,8311,8280
130,16900,9991,9880
130,16900,10075,10010
130,16900,10075,10010
130,16900,10045,10010
130,16900,10126,10010
130,16900,10249,10140
130,16900,10007,9880
130,16900,9928,9880
130,16900,10057,10010
130,16900,10102,10010
140,19600,11531,11480
140,19600,11678,11620
140,19600,11709,11620
140,19600,11750,11620
140,19600,11373,11340
140,19600,11768,11760
140,19600,11517,11480
140,19600,11412,11340
140,19600,11372,11340
140,19600,11813,11760
150,22500,12934,12900
150,22500,13345,13200
150,22500,13585,13500
150,22500,13019,12900
150,22500,13436,13350
150,22500,13352,13350
150,22500,13488,13350
150,22500,13491,13350
150,22500,13183,13050
150,22500,12719,12600
160,25600,14923,14880
160,25600,15205,15200
160,25600,15267,15200
160,25600,14979,14880
160,25600,15050,15040
160,25600,15018,14880
160,25600,14859,14720
