"n","Total","NumberOfOpenComponents","Percolation Rate"
10,100,60,60
10,100,61,60
10,100,51,50
10,100,61,60
10,100,64,60
10,100,59,50
10,100,51,50
10,100,48,40
10,100,54,50
10,100,49,40
10,100,61,60
10,100,62,60
10,100,55,50
10,100,59,50
10,100,57,50
10,100,62,60
10,100,61,60
10,100,60,60
10,100,61,60
10,100,45,40
10,100,64,60
10,100,53,50
10,100,62,60
10,100,59,50
10,100,69,60
10,100,49,40
10,100,57,50
10,100,53,50
10,100,48,40
10,100,67,60
10,100,52,50
10,100,73,70
10,100,68,60
10,100,72,70
10,100,62,60
10,100,51,50
10,100,60,60
10,100,63,60
10,100,64,60
10,100,51,50
10,100,70,70
10,100,69,60
10,100,58,50
10,100,63,60
10,100,35,30
10,100,66,60
10,100,58,50
10,100,59,50
10,100,68,60
10,100,44,40
10,100,50,50
10,100,50,50
10,100,57,50
10,100,60,60
10,100,48,40
10,100,58,50
10,100,54,50
10,100,56,50
10,100,60,60
10,100,56,50
10,100,64,60
10,100,66,60
10,100,69,60
10,100,57,50
10,100,49,40
10,100,62,60
10,100,44,40
10,100,69,60
10,100,47,40
10,100,58,50
10,100,43,40
10,100,64,60
10,100,68,60
10,100,61,60
10,100,57,50
10,100,61,60
10,100,64,60
10,100,56,50
10,100,56,50
10,100,62,60
10,100,74,70
10,100,47,40
10,100,61,60
10,100,53,50
10,100,62,60
10,100,58,50
10,100,61,60
10,100,65,60
10,100,52,50
10,100,62,60
10,100,56,50
10,100,57,50
10,100,73,70
10,100,39,30
10,100,68,60
10,100,49,40
10,100,42,40
10,100,50,50
10,100,61,60
10,100,51,50
10,100,57,50
10,100,67,60
10,100,63,60
10,100,58,50
10,100,57,50
10,100,44,40
10,100,75,70
10,100,53,50
10,100,73,70
10,100,69,60
10,100,62,60
10,100,50,50
10,100,68,60
10,100,47,40
10,100,64,60
10,100,59,50
10,100,64,60
10,100,62,60
10,100,50,50
10,100,53,50
10,100,68,60
10,100,73,70
10,100,50,50
10,100,37,30
10,100,62,60
10,100,64,60
10,100,57,50
10,100,62,60
10,100,60,60
10,100,61,60
10,100,58,50
10,100,50,50
10,100,60,60
10,100,64,60
10,100,69,60
10,100,62,60
10,100,64,60
10,100,60,60
10,100,56,50
10,100,60,60
10,100,45,40
10,100,62,60
10,100,52,50
10,100,56,50
10,100,58,50
10,100,53,50
10,100,56,50
10,100,66,60
10,100,59,50
10,100,69,60
10,100,50,50
10,100,72,70
10,100,52,50
10,100,62,60
10,100,51,50
10,100,61,60
10,100,64,60
10,100,52,50
10,100,53,50
10,100,58,50
10,100,64,60
10,100,54,50
10,100,57,50
10,100,57,50
10,100,55,50
10,100,46,40
10,100,51,50
10,100,58,50
10,100,61,60
10,100,54,50
10,100,68,60
10,100,59,50
10,100,59,50
10,100,68,60
