"size","depth","timeTakenToSort","MaxDepthInTheory","isPerfectSorted"
50000,0,0.0293289,15,false
50000,1,0.015100800000000001,15,false
50000,2,0.0107477,15,false
50000,3,0.0109063,15,false
50000,4,0.0075982,15,false
50000,5,0.0075852,15,false
50000,6,0.006871100000000001,15,false
50000,7,0.0068939000000000005,15,false
50000,8,0.0074961,15,false
50000,9,0.0066682,15,false
50000,10,0.0062561000000000005,15,true
50000,11,0.0066175,15,true
50000,12,0.0058141,15,true
50000,13,0.0058421,15,true
50000,14,0.0058494,15,true
50000,15,0.0058767,15,true
50000,16,0.005847000000000001,15,false
50000,17,0.0058417,15,false
50000,18,0.0057901,15,false
50000,19,0.0057483000000000005,15,false
50000,20,0.0057413,15,false
50000,21,0.0057418,15,false
50000,22,0.0057199,15,false
50000,23,0.005753100000000001,15,false
50000,24,0.0057371,15,false
50000,25,0.0057686000000000005,15,false
50000,26,0.005694500000000001,15,false
50000,27,0.0058275,15,false
50000,28,0.005708700000000001,15,false
50000,29,0.0057163000000000005,15,false
50000,30,0.0055612000000000005,15,false
50000,31,0.005598700000000001,15,false
50000,32,0.005569200000000001,15,false
50000,33,0.0056204,15,false
50000,34,0.0055671,15,false
50000,35,0.0055935,15,false
50000,36,0.0055931,15,false
50000,37,0.0059715,15,false
50000,38,0.0056845,15,false
50000,39,0.0056728,15,false
50000,40,0.0057883000000000006,15,false
50000,41,0.0055721,15,false
50000,42,0.0056914,15,false
50000,43,0.0060837,15,false
50000,44,0.0060361,15,false
50000,45,0.0068858,15,false
50000,46,0.0068091,15,false
50000,47,0.006738,15,false
50000,48,0.007644700000000001,15,false
50000,49,0.0063857,15,false
50000,50,0.0056988,15,false
50000,51,0.0059287,15,false
50000,52,0.0062497,15,false
50000,53,0.0058785,15,false
50000,54,0.0060144000000000005,15,false
50000,55,0.005740100000000001,15,false
50000,56,0.0060312000000000004,15,false
50000,57,0.0060375,15,false
50000,58,0.0056962,15,false
50000,59,0.0056943,15,false
"-------------------------------------------------------"
60000,0,0.015270500000000001,15,false
60000,1,0.0155945,15,false
60000,2,0.0134286,15,false
60000,3,0.0146274,15,false
60000,4,0.014254800000000001,15,false
60000,5,0.0135583,15,false
60000,6,0.014986200000000002,15,false
60000,7,0.0105301,15,false
60000,8,0.008916400000000001,15,false
60000,9,0.008406400000000001,15,false
60000,10,0.008329000000000001,15,true
60000,11,0.007901700000000001,15,true
60000,12,0.009567,15,true
60000,13,0.0090948,15,true
60000,14,0.011692200000000002,15,true
60000,15,0.011366800000000002,15,true
60000,16,0.009802,15,false
60000,17,0.0074964,15,false
60000,18,0.008105600000000001,15,false
60000,19,0.007564800000000001,15,false
60000,20,0.0081921,15,false
60000,21,0.0098022,15,false
60000,22,0.0092863,15,false
60000,23,0.0104305,15,false
60000,24,0.0073524,15,false
60000,25,0.0113357,15,false
60000,26,0.0075405,15,false
60000,27,0.007833900000000001,15,false
60000,28,0.0083885,15,false
60000,29,0.0081369,15,false
60000,30,0.007150500000000001,15,false
60000,31,0.008271,15,false
60000,32,0.008671700000000001,15,false
60000,33,0.008309,15,false
60000,34,0.0074095,15,false
60000,35,0.0104136,15,false
60000,36,0.008517700000000001,15,false
60000,37,0.0094699,15,false
60000,38,0.007450300000000001,15,false
60000,39,0.0095753,15,false
60000,40,0.0073372,15,false
60000,41,0.0076309,15,false
60000,42,0.007928600000000001,15,false
60000,43,0.009157700000000001,15,false
60000,44,0.0105064,15,false
60000,45,0.0081229,15,false
60000,46,0.0086934,15,false
60000,47,0.0079921,15,false
60000,48,0.0080137,15,false
60000,49,0.0073628,15,false
60000,50,0.0071928,15,false
60000,51,0.0072144,15,false
60000,52,0.0073667,15,false
60000,53,0.008421900000000001,15,false
60000,54,0.007283700000000001,15,false
60000,55,0.009335300000000001,15,false
60000,56,0.0093553,15,false
60000,57,0.0072009000000000005,15,false
60000,58,0.0077536,15,false
60000,59,0.0088705,15,false
"-------------------------------------------------------"
70000,0,0.0336336,16,false
70000,1,0.035020100000000005,16,false
70000,2,0.0299827,16,false
70000,3,0.0322352,16,false
70000,4,0.022041,16,false
70000,5,0.017564700000000003,16,false
70000,6,0.0125958,16,false
70000,7,0.009888800000000001,16,false
70000,8,0.0091562,16,true
70000,9,0.0091479,16,true
70000,10,0.0093077,16,true
70000,11,0.010883100000000001,16,true
70000,12,0.010025300000000001,16,false
70000,13,0.0122693,16,false
70000,14,0.011555200000000002,16,false
70000,15,0.0094737,16,false
70000,16,0.01103,16,true
70000,17,0.013228,16,false
70000,18,0.0117658,16,false
70000,19,0.0085854,16,false
70000,20,0.0121744,16,false
70000,21,0.012466000000000001,16,false
70000,22,0.008883100000000001,16,false
70000,23,0.0091426,16,false
70000,24,0.0114102,16,false
70000,25,0.010806300000000001,16,false
70000,26,0.010914400000000001,16,false
70000,27,0.009173,16,false
70000,28,0.0136176,16,false
70000,29,0.0102866,16,false
70000,30,0.0094453,16,false
70000,31,0.0103938,16,false
70000,32,0.0102006,16,false
70000,33,0.0113408,16,false
70000,34,0.0132931,16,false
70000,35,0.0099098,16,false
70000,36,0.0130092,16,false
70000,37,0.010525900000000001,16,false
70000,38,0.0088016,16,false
70000,39,0.01073,16,false
70000,40,0.011711300000000001,16,false
70000,41,0.0113016,16,false
70000,42,0.010708800000000001,16,false
70000,43,0.0102734,16,false
70000,44,0.0123067,16,false
70000,45,0.016361,16,false
70000,46,0.0167748,16,false
70000,47,0.008785300000000001,16,false
70000,48,0.008578800000000001,16,false
70000,49,0.008673700000000001,16,false
70000,50,0.009131700000000001,16,false
70000,51,0.0084478,16,false
70000,52,0.0092587,16,false
70000,53,0.0086136,16,false
70000,54,0.0097111,16,false
70000,55,0.0084835,16,false
70000,56,0.008741,16,false
70000,57,0.0089727,16,false
70000,58,0.008849300000000001,16,false
70000,59,0.0084896,16,false
